Modelo,Accuracy_mean_train,Accuracy_std_train,Precision_mean_train,Precision_std_train,Recall_mean_train,Recall_std_train,F1_mean_train,F1_std_train,ROC_AUC_mean_train,ROC_AUC_std_train,Accuracy_mean_test,Accuracy_std_test,Precision_mean_test,Precision_std_test,Recall_mean_test,Recall_std_test,F1_mean_test,F1_std_test,ROC_AUC_mean_test,ROC_AUC_std_test,gap_Accuracy,gap_Precision,gap_Recall,gap_F1,gap_ROC_AUC,fit_time_mean,score_time_mean
LogisticRegression,0.8782943270183512,0.0011964424763636552,0.8823103940451087,0.0009230238600392429,0.8730061516399805,0.0028255633031691748,0.8776306924337121,0.0013836965516143404,0.9553519043689924,0.0005110749297762134,0.8776856166511339,0.006685639451166361,0.8810697102578129,0.005624318498839588,0.8732095966060782,0.010473874861087511,0.8770980261017897,0.007100545236756397,0.9543500236238142,0.002083598124828911,0.0006087103672173244,0.0012406837872958043,-0.0002034449660976989,0.0005326663319223934,0.001001880745178263,0.05101513862609863,0.060291624069213866
GradientBoostingClassifier,0.882889572288964,0.0010977463494606149,0.8830370171524631,0.0018921328690049194,0.8826707114346519,0.002975404944448974,0.8828484579112097,0.0012159234725449806,0.9607969154658343,0.0007201316724985238,0.8768749885788427,0.009946501298215416,0.8765360941820963,0.008418485268178717,0.8772647478330835,0.013733055093492328,0.8768745186161674,0.010333735029479053,0.9544129964089827,0.0029046213882371794,0.006014583710121313,0.0065009229703667515,0.00540596360156842,0.005973939295042308,0.00638391905685165,1.009596014022827,0.062151193618774414
SVM,0.8888025506499911,0.001656044645900895,0.8962628373277781,0.001982310181025244,0.8793592155859813,0.00231554601648289,0.8877285363889167,0.001692424415176924,0.9613031481184848,0.0004200570202915003,0.8695769603274673,0.005489328438315038,0.8779262556935213,0.007901800728591809,0.8586128076655817,0.010665640084016914,0.8680990987381512,0.005821096470960566,0.9499426185959943,0.0017892496136592227,0.0192255903225238,0.018336581634256777,0.020746407920399612,0.019629437650765524,0.011360529522490559,6.615827560424805,0.5598653316497803
RandomForestClassifier,0.9612109651465962,0.0014754142465193232,0.9560937417052628,0.0021481739505876656,0.9668153274937662,0.002066097791246532,0.9614222503386344,0.0014636056205541005,0.9953753565784063,0.00031797349500215953,0.8561963890868556,0.007290097022964201,0.8563718332665285,0.0023888257429184327,0.8559068134440257,0.016935970635920478,0.8560558809254353,0.008620190990045169,0.9366572913567482,0.006419963180836168,0.10501457605974063,0.0997219084387343,0.11090851404974045,0.1053663694131991,0.05871806522165801,1.9091203212738037,0.3968390941619873
